SampleID,GID
SEEDGWAS1457,16892
SEEDGWAS1458,16994
SEEDGWAS1459,17101
SEEDGWAS1460,17202
SEEDGWAS1461,17509
SEEDGWAS1462,17519
SEEDGWAS1463,17566
SEEDGWAS1464,17567
SEEDGWAS1465,19340
SEEDGWAS1466,19352
SEEDGWAS1467,19387
SEEDGWAS1468,19573
SEEDGWAS1469,19574
SEEDGWAS147,10397
SEEDGWAS1470,20043
SEEDGWAS1472,20426
SEEDGWAS1473,20437
SEEDGWAS1474,20652
SEEDGWAS1476,20654
SEEDGWAS1477,20656
SEEDGWAS1478,20661
SEEDGWAS1479,20662
SEEDGWAS148,10602
SEEDGWAS1481,20664
SEEDGWAS1482,20686
SEEDGWAS1483,20687
SEEDGWAS1484,20701
SEEDGWAS1485,20745
SEEDGWAS1486,20754
SEEDGWAS1487,20841
SEEDGWAS1488,20908
SEEDGWAS149,10842
SEEDGWAS1490,20917
SEEDGWAS1492,20919
SEEDGWAS1493,20941
SEEDGWAS1494,20945
SEEDGWAS1495,20990
SEEDGWAS1496,21000
SEEDGWAS1497,21291
SEEDGWAS1498,21293
SEEDGWAS15,5531
SEEDGWAS150,10878
SEEDGWAS1500,21334
SEEDGWAS1501,21348
SEEDGWAS1503,21376
SEEDGWAS1506,22243
SEEDGWAS1507,22251
SEEDGWAS1508,22534
SEEDGWAS151,11184
SEEDGWAS1512,22817
SEEDGWAS1513,22843
SEEDGWAS1514,22845
SEEDGWAS1516,23184
SEEDGWAS1517,23188
SEEDGWAS1518,23191
SEEDGWAS1519,23199
SEEDGWAS152,11412
SEEDGWAS1520,23203
SEEDGWAS1521,23205
SEEDGWAS1522,23218
SEEDGWAS1523,23227
SEEDGWAS1526,23245
SEEDGWAS1527,23247
SEEDGWAS1528,23294
SEEDGWAS153,11437
SEEDGWAS1530,23325
SEEDGWAS1532,23345
SEEDGWAS1533,23356
SEEDGWAS1534,23373
SEEDGWAS1535,23425
SEEDGWAS1536,23454
SEEDGWAS1537,23462
SEEDGWAS1538,23504
SEEDGWAS1539,23507
SEEDGWAS1540,23611
SEEDGWAS1543,23878
SEEDGWAS1545,23893
SEEDGWAS1546,23897
SEEDGWAS1549,23916
SEEDGWAS155,11460
SEEDGWAS1550,23925
SEEDGWAS1551,23927
SEEDGWAS1552,24077
SEEDGWAS1553,24086
SEEDGWAS1554,24090
SEEDGWAS1556,24108
SEEDGWAS1557,24145
SEEDGWAS156,11474
SEEDGWAS1560,24317
SEEDGWAS1561,24385
SEEDGWAS1562,24449
SEEDGWAS1563,24561
SEEDGWAS1564,24625
SEEDGWAS1565,24629
SEEDGWAS1566,24638
SEEDGWAS1568,24757
SEEDGWAS1569,24764
SEEDGWAS157,11489
SEEDGWAS1570,24772
SEEDGWAS1571,24773
SEEDGWAS1572,24778
SEEDGWAS1573,24779
SEEDGWAS1574,24784
SEEDGWAS1575,24788
SEEDGWAS1576,24797
SEEDGWAS1577,24798
SEEDGWAS1578,24807
SEEDGWAS1579,24819
SEEDGWAS158,11496
SEEDGWAS1580,24822
SEEDGWAS1581,24826
SEEDGWAS1582,24849
SEEDGWAS1583,24850
SEEDGWAS1584,24858
SEEDGWAS1585,24861
SEEDGWAS1586,24863
SEEDGWAS1587,24866
SEEDGWAS1588,24867
SEEDGWAS1589,24870
SEEDGWAS1590,24875
SEEDGWAS1591,24877
SEEDGWAS1592,24910
SEEDGWAS1593,24911
SEEDGWAS1594,24915
SEEDGWAS1595,24934
SEEDGWAS1596,24936
SEEDGWAS1598,24939
SEEDGWAS1599,24964
SEEDGWAS16,5552
SEEDGWAS160,11501
SEEDGWAS1600,24971
SEEDGWAS1601,25197
SEEDGWAS1602,25205
SEEDGWAS1603,25218
SEEDGWAS1604,25366
SEEDGWAS1605,25368
SEEDGWAS1607,25447
SEEDGWAS1608,25458
SEEDGWAS1609,25484
SEEDGWAS1610,25490
SEEDGWAS1611,25632
SEEDGWAS1613,25654
SEEDGWAS1616,25668
SEEDGWAS1617,25669
SEEDGWAS1619,25671
SEEDGWAS162,11503
SEEDGWAS1621,25731
SEEDGWAS1622,25741
SEEDGWAS1623,25745
SEEDGWAS1626,25756
SEEDGWAS1627,25792
SEEDGWAS163,11506
SEEDGWAS1631,25841
SEEDGWAS1632,25843
SEEDGWAS1633,25854
SEEDGWAS1634,25859
SEEDGWAS1635,25861
SEEDGWAS1636,25864
SEEDGWAS1638,25866
SEEDGWAS1639,25884
SEEDGWAS164,11510
SEEDGWAS1641,25902
SEEDGWAS1643,25934
SEEDGWAS1644,25937
SEEDGWAS1645,25939
SEEDGWAS1646,25942
SEEDGWAS1647,25968
SEEDGWAS1648,25971
SEEDGWAS1649,26110
SEEDGWAS1650,26124
SEEDGWAS1651,26446
SEEDGWAS1652,26483
SEEDGWAS1653,26484
SEEDGWAS1654,26499
SEEDGWAS1655,26505
SEEDGWAS1656,26506
SEEDGWAS1658,26516
SEEDGWAS1659,26571
SEEDGWAS1660,26596
SEEDGWAS1661,26666
SEEDGWAS1662,27001
SEEDGWAS1663,27033
SEEDGWAS1665,27107
SEEDGWAS1666,27124
SEEDGWAS1667,27125
SEEDGWAS1668,27137
SEEDGWAS1669,27200
SEEDGWAS167,11549
SEEDGWAS1670,27201
SEEDGWAS1671,27710
SEEDGWAS1673,27822
SEEDGWAS1674,27825
SEEDGWAS1676,27934
SEEDGWAS1679,27961
SEEDGWAS168,11558
SEEDGWAS1680,27968
SEEDGWAS1681,27998
SEEDGWAS1682,28014
SEEDGWAS1683,28020
SEEDGWAS1684,28025
SEEDGWAS1685,28044
SEEDGWAS1686,28325
SEEDGWAS1689,28370
SEEDGWAS169,11578
SEEDGWAS1690,28484
SEEDGWAS1691,28495
SEEDGWAS1693,28513
SEEDGWAS1694,28532
SEEDGWAS1695,28536
SEEDGWAS1696,28550
SEEDGWAS1697,28589
SEEDGWAS1698,28602
SEEDGWAS1699,28764
SEEDGWAS17,5579
SEEDGWAS170,11618
SEEDGWAS1700,28769
SEEDGWAS1701,28771
SEEDGWAS1702,28794
SEEDGWAS1703,28798
SEEDGWAS1704,28836
SEEDGWAS1705,28841
SEEDGWAS1707,28856
SEEDGWAS1708,28858
SEEDGWAS1709,28882
SEEDGWAS171,11628
SEEDGWAS1710,28888
SEEDGWAS1711,28891
SEEDGWAS1712,28964
SEEDGWAS1713,28965
SEEDGWAS1714,28966
SEEDGWAS1715,28967
SEEDGWAS1716,28968
SEEDGWAS1717,28969
SEEDGWAS1719,28974
SEEDGWAS172,11630
SEEDGWAS1720,28983
SEEDGWAS1721,28989
SEEDGWAS1722,29057
SEEDGWAS1723,29071
SEEDGWAS1724,29093
SEEDGWAS1725,29095
SEEDGWAS1726,29097
SEEDGWAS1727,29099
SEEDGWAS1728,29102
SEEDGWAS1729,29135
SEEDGWAS173,11635
SEEDGWAS1730,29137
SEEDGWAS1731,29153
SEEDGWAS1732,29157
SEEDGWAS1733,29165
SEEDGWAS1736,29290
SEEDGWAS1737,29292
SEEDGWAS1739,29314
SEEDGWAS174,11675
SEEDGWAS1740,29329
SEEDGWAS1741,29339
SEEDGWAS1742,29352
SEEDGWAS1743,29353
SEEDGWAS1744,29357
SEEDGWAS1745,29384
SEEDGWAS1746,29443
SEEDGWAS1747,29450
SEEDGWAS1748,29452
SEEDGWAS1749,29568
SEEDGWAS1751,29583
SEEDGWAS1752,29584
SEEDGWAS1753,839
SEEDGWAS1754,841
SEEDGWAS1755,2823
SEEDGWAS1756,2856
SEEDGWAS1759,3300
SEEDGWAS176,11702
SEEDGWAS1760,3303
SEEDGWAS1761,3309
SEEDGWAS1762,3329
SEEDGWAS1763,3431
SEEDGWAS1764,3844
SEEDGWAS1765,3845
SEEDGWAS1766,5408
SEEDGWAS1767,5792
SEEDGWAS1768,5850
SEEDGWAS1769,6722
SEEDGWAS177,11706
SEEDGWAS1770,6733
SEEDGWAS1771,7052
SEEDGWAS1772,7125
SEEDGWAS1773,7169
SEEDGWAS1774,7428
SEEDGWAS1775,7801
SEEDGWAS1776,7827
SEEDGWAS1777,7886
SEEDGWAS1778,8097
SEEDGWAS1779,8254
SEEDGWAS178,11739
SEEDGWAS1780,8259
SEEDGWAS1781,8261
SEEDGWAS1782,8262
SEEDGWAS1783,8267
SEEDGWAS1784,8287
SEEDGWAS1785,8356
SEEDGWAS1786,8440
SEEDGWAS1788,8875
SEEDGWAS1789,8935
SEEDGWAS179,11751
SEEDGWAS1790,12041
SEEDGWAS1791,12796
SEEDGWAS1792,12816
SEEDGWAS1793,12822
SEEDGWAS1794,15961
SEEDGWAS1795,16022
SEEDGWAS1796,16047
SEEDGWAS1797,16280
SEEDGWAS1798,16293
SEEDGWAS1799,16299
SEEDGWAS18,5584
SEEDGWAS180,11778
SEEDGWAS1800,21863
SEEDGWAS1802,23928
SEEDGWAS1803,24105
SEEDGWAS1804,24250
SEEDGWAS1805,24281
SEEDGWAS1806,24630
SEEDGWAS1807,24977
SEEDGWAS1809,25422
SEEDGWAS1810,25427
SEEDGWAS1811,25483
SEEDGWAS1812,25489
SEEDGWAS1814,26456
SEEDGWAS1815,26459
SEEDGWAS1816,26461
SEEDGWAS1818,26519
SEEDGWAS1819,26521
SEEDGWAS182,11804
SEEDGWAS1820,26547
SEEDGWAS1821,26568
SEEDGWAS1822,26569
SEEDGWAS1823,26576
SEEDGWAS1824,26662
SEEDGWAS1825,26718
SEEDGWAS1826,26727
SEEDGWAS1827,26734
SEEDGWAS1828,26986
SEEDGWAS1829,27038
SEEDGWAS183,11865
SEEDGWAS1830,27092
SEEDGWAS1831,27097
SEEDGWAS1832,27120
SEEDGWAS1833,27121
SEEDGWAS1834,27129
SEEDGWAS1835,27166
SEEDGWAS1836,27167
SEEDGWAS1837,27831
SEEDGWAS1838,27876
SEEDGWAS1839,29061
SEEDGWAS1840,9777
SEEDGWAS1841,9858
SEEDGWAS1842,9860
SEEDGWAS1843,9863
SEEDGWAS1844,9864
SEEDGWAS1845,9884
SEEDGWAS1846,9892
SEEDGWAS1847,9896
SEEDGWAS1848,9897
SEEDGWAS1849,9948
SEEDGWAS185,11907
SEEDGWAS1850,9953
SEEDGWAS1851,9957
SEEDGWAS1852,9958
SEEDGWAS1854,10031
SEEDGWAS1855,10068
SEEDGWAS1856,10094
SEEDGWAS1857,10101
SEEDGWAS1858,10108
SEEDGWAS1859,10121
SEEDGWAS186,11987
SEEDGWAS1860,10270
SEEDGWAS1862,10282
SEEDGWAS1863,10299
SEEDGWAS1864,10325
SEEDGWAS1866,10909
SEEDGWAS1867,10910
SEEDGWAS1868,10949
SEEDGWAS1869,11004
SEEDGWAS187,12010
SEEDGWAS1870,11045
SEEDGWAS1871,11079
SEEDGWAS1872,11080
SEEDGWAS1873,11132
SEEDGWAS1874,11133
SEEDGWAS1877,11189
SEEDGWAS1878,11194
SEEDGWAS1879,11215
SEEDGWAS188,12011
SEEDGWAS1880,11268
SEEDGWAS1881,11281
SEEDGWAS1882,11298
SEEDGWAS1883,11381
SEEDGWAS1884,11490
SEEDGWAS1885,11505
SEEDGWAS1887,11553
SEEDGWAS1888,11673
SEEDGWAS1889,11816
SEEDGWAS1890,12633
SEEDGWAS1891,12989
SEEDGWAS1892,13149
SEEDGWAS1894,13813
SEEDGWAS1895,13955
SEEDGWAS1898,13957
SEEDGWAS1899,13968
SEEDGWAS19,5585
SEEDGWAS190,12020
SEEDGWAS1900,13997
SEEDGWAS1902,14141
SEEDGWAS1903,14143
SEEDGWAS1904,14152
SEEDGWAS1905,14154
SEEDGWAS1906,14169
SEEDGWAS1907,14170
SEEDGWAS1908,14171
SEEDGWAS1909,14173
SEEDGWAS191,12038
SEEDGWAS1910,14174
SEEDGWAS1911,14188
SEEDGWAS1912,14221
SEEDGWAS1913,14245
SEEDGWAS1914,14275
SEEDGWAS1915,14284
SEEDGWAS1916,14286
SEEDGWAS1917,14397
SEEDGWAS1918,14416
SEEDGWAS1919,14430
SEEDGWAS192,12058
SEEDGWAS1920,14464
SEEDGWAS1921,14516
SEEDGWAS1922,14571
SEEDGWAS1923,14606
SEEDGWAS1924,14609
SEEDGWAS1925,14613
SEEDGWAS1926,14630
SEEDGWAS1927,14631
SEEDGWAS1929,14634
SEEDGWAS193,12071
SEEDGWAS1930,14635
SEEDGWAS1931,14636
SEEDGWAS1932,14653
SEEDGWAS1933,14655
SEEDGWAS1934,14659
SEEDGWAS1935,14662
SEEDGWAS1936,14663
SEEDGWAS1937,14667
SEEDGWAS1938,14670
SEEDGWAS1939,14675
SEEDGWAS194,12076
SEEDGWAS1940,14676
SEEDGWAS1941,14680
SEEDGWAS1942,14687
SEEDGWAS1943,14688
SEEDGWAS1944,14700
SEEDGWAS1945,14701
SEEDGWAS1946,14704
SEEDGWAS1947,14710
SEEDGWAS1948,14713
SEEDGWAS1949,14722
SEEDGWAS195,12190
SEEDGWAS1950,14730
SEEDGWAS1951,14739
SEEDGWAS1952,14740
SEEDGWAS1953,14741
SEEDGWAS1954,14742
SEEDGWAS1955,14744
SEEDGWAS1956,14745
SEEDGWAS1957,14778
SEEDGWAS1958,14797
SEEDGWAS1959,14800
SEEDGWAS196,12403
SEEDGWAS1960,14806
SEEDGWAS1961,14837
SEEDGWAS1963,14845
SEEDGWAS1964,14868
SEEDGWAS1965,14879
SEEDGWAS1966,14889
SEEDGWAS1967,14920
SEEDGWAS1968,14939
SEEDGWAS1969,14940
SEEDGWAS197,12458
SEEDGWAS1970,14945
SEEDGWAS1972,14999
SEEDGWAS1974,15010
SEEDGWAS1975,15025
SEEDGWAS1976,15041
SEEDGWAS1977,15043
SEEDGWAS1978,15113
SEEDGWAS1979,15114
SEEDGWAS198,12522
SEEDGWAS1980,15128
SEEDGWAS1981,15141
SEEDGWAS1982,15148
SEEDGWAS1983,15218
SEEDGWAS1984,15221
SEEDGWAS1985,15240
SEEDGWAS1986,15251
SEEDGWAS1987,15267
SEEDGWAS1988,15275
SEEDGWAS1989,15281
SEEDGWAS1990,15316
SEEDGWAS1991,15325
SEEDGWAS1992,15326
SEEDGWAS1993,15333
SEEDGWAS1994,15334
SEEDGWAS1995,15339
SEEDGWAS1996,15361
SEEDGWAS1998,15392
SEEDGWAS1999,15394
SEEDGWAS2,749
SEEDGWAS20,5587
SEEDGWAS2000,15408
SEEDGWAS2001,15415
SEEDGWAS2003,15442
SEEDGWAS2004,15450
SEEDGWAS2005,15693
SEEDGWAS2006,15697
SEEDGWAS2007,15745
SEEDGWAS2008,16778
SEEDGWAS2009,16808
SEEDGWAS2010,16809
SEEDGWAS2011,16845
SEEDGWAS2012,16847
SEEDGWAS2013,16854
SEEDGWAS2014,16868
SEEDGWAS2015,16872
SEEDGWAS2016,16873
SEEDGWAS2017,16877
SEEDGWAS2018,16905
SEEDGWAS2019,17182
SEEDGWAS202,12645
SEEDGWAS2022,17501
SEEDGWAS2024,17753
SEEDGWAS2025,19295
SEEDGWAS2026,19302
SEEDGWAS2027,19305
SEEDGWAS2028,19308
SEEDGWAS2029,19380
SEEDGWAS203,12646
SEEDGWAS2031,19592
SEEDGWAS2032,19594
SEEDGWAS2035,19873
SEEDGWAS2036,19898
SEEDGWAS2037,20018
SEEDGWAS2038,20032
SEEDGWAS2039,20034
SEEDGWAS2040,20060
SEEDGWAS2041,20306
SEEDGWAS2042,20410
SEEDGWAS2043,20425
SEEDGWAS2044,20433
SEEDGWAS2045,20444
SEEDGWAS2046,20932
SEEDGWAS2047,20985
SEEDGWAS2048,21024
SEEDGWAS2049,21067
SEEDGWAS2050,21071
SEEDGWAS2051,21102
SEEDGWAS2052,21120
SEEDGWAS2053,21122
SEEDGWAS2057,21335
SEEDGWAS2058,21339
SEEDGWAS2059,21362
SEEDGWAS206,12706
SEEDGWAS2061,21375
SEEDGWAS2064,22277
SEEDGWAS2065,22466
SEEDGWAS2066,22521
SEEDGWAS2067,22529
SEEDGWAS2068,22640
SEEDGWAS2069,22741
SEEDGWAS207,12743
SEEDGWAS2070,22755
SEEDGWAS2071,22773
SEEDGWAS2072,24
SEEDGWAS2073,96
SEEDGWAS2075,807
SEEDGWAS2076,820
SEEDGWAS2077,1478
SEEDGWAS2078,1486
SEEDGWAS2079,1493
SEEDGWAS208,12767
SEEDGWAS2080,1674
SEEDGWAS2081,1950
SEEDGWAS2082,3452
SEEDGWAS2083,3622
SEEDGWAS2084,3694
SEEDGWAS2085,5352
SEEDGWAS2086,5508
SEEDGWAS2087,5511
SEEDGWAS2088,5548
SEEDGWAS2089,5573
SEEDGWAS209,12885
SEEDGWAS2090,5609
SEEDGWAS2091,5769
SEEDGWAS2092,5801
SEEDGWAS2093,5805
